Tarih;Acilis;Kapanis
7 Ţubat 2023;1.131.96;1.132.22
8 Ţubat 2023;1.135.23;1.135.27
9 Ţubat 2023;1.126.28;1.126.51
10 Ţubat 2023;1.126.28;1.129.00
11 Ţubat 2023;1.126.28;1.128.82
12 Ţubat 2023;0;1.128.82
13 Ţubat 2023;1.123.45;1.123.57
14 Ţubat 2023;1.123.69;1.124.03
15 Ţubat 2023;1.113.94;1.113.78
16 Ţubat 2023;1.113.08;1.113.51
17 Ţubat 2023;1.113.08;1.116.85
18 Ţubat 2023;1.113.08;1.117.06
19 Ţubat 2023;1.113.08;1.117.06
20 Ţubat 2023;1.117.00;1.117.02
21 Ţubat 2023;1.113.24;1.113.13
22 Ţubat 2023;1.106.92;1.107.32
23 Ţubat 2023;1.106.66;1.106.53
24 Ţubat 2023;1.106.66;1.099.29
25 Ţubat 2023;1.106.66;1.099.08
26 Ţubat 2023;1.106.66;1.099.08
27 Ţubat 2023;1.103.58;1.103.73
28 Ţubat 2023;1.109.37;1.109.06
1 Mart 2023;1.115.52;1.115.63
2 Mart 2023;1.115.78;1.115.55
3 Mart 2023;1.115.78;1.126.73
4 Mart 2023;1.115.78;1.126.84
5 Mart 2023;1.115.78;1.126.84
6 Mart 2023;1.121.88;1.121.89
7 Mart 2023;1.103.72;1.103.44
8 Mart 2023;1.104.90;1.104.06
9 Mart 2023;1.115.81;1.115.73
10 Mart 2023;1.115.81;1.140.29
11 Mart 2023;1.115.81;1.140.37
13 Mart 2023;1.166.45;1.167.04
14 Mart 2023;1.161.77;1.161.66
15 Mart 2023;1.171.37;1.171.63
16 Mart 2023;1.172.71;1.172.41
17 Mart 2023;1.172.71;1.215.97
18 Mart 2023;1.172.71;1.216.37
20 Mart 2023;1.209.55;1.209.08
21 Mart 2023;1.187.45;1.186.72
22 Mart 2023;1.205.51;1.206.09
23 Mart 2023;1.220.09;1.219.88
24 Mart 2023;1.220.09;1.212.61
27 Mart 2023;1.200.79;1.201.05
28 Mart 2023;1.213.34;1.213.15
29 Mart 2023;1.208.68;1.208.21
30 Mart 2023;1.220.49;1.220.16
31 Mart 2023;1.220.49;1.214.37
3 Nisan 2023;1.224.74;1.224.03
4 Nisan 2023;1.249.13;1.248.75
5 Nisan 2023;1.250.55;1.250.23
6 Nisan 2023;1.242.31;1.242.55
7 Nisan 2023;1.242.31;1.242.24
10 Nisan 2023;1.234.01;1.233.79
11 Nisan 2023;1.243.35;1.242.63
12 Nisan 2023;1.251.39;1.251.23
13 Nisan 2023;1.268.31;1.267.29
14 Nisan 2023;1.268.31;1.246.95
17 Nisan 2023;1.243.66;1.243.76
18 Nisan 2023;1.250.59;1.250.10
19 Nisan 2023;1.244.16;1.243.99
20 Nisan 2023;1.250.79;1.249.67
21 Nisan 2023;1.250.79;1.237.73
24 Nisan 2023;1.240.75;1.240.83
25 Nisan 2023;1.247.35;1.247.53
26 Nisan 2023;1.242.28;1.241.86
27 Nisan 2023;1.242.53;1.242.05
28 Nisan 2023;1.242.53;1.244.69
1 Mayýs 2023;1.240.16;1.239.09
2 Mayýs 2023;1.262.15;1.262.02
3 Mayýs 2023;1.275.60;1.276.71
4 Mayýs 2023;1.284.84;1.284.81
5 Mayýs 2023;1.284.84;1.266.25
8 Mayýs 2023;1.267.52;1.267.28
9 Mayýs 2023;1.276.73;1.276.27
10 Mayýs 2023;1.275.07;1.275.51
11 Mayýs 2023;1.266.67;1.265.75
12 Mayýs 2023;1.266.67;1.265.12
15 Mayýs 2023;1.274.51;1.274.40
16 Mayýs 2023;1.261.43;1.261.38
17 Mayýs 2023;1.259.27;1.259.00
18 Mayýs 2023;1.245.88;1.245.81
19 Mayýs 2023;1.245.88;1.260.46
22 Mayýs 2023;1.256.33;1.256.90
23 Mayýs 2023;1.260.32;1.260.59
24 Mayýs 2023;1.252.33;1.251.84
25 Mayýs 2023;1.244.35;1.243.92
26 Mayýs 2023;1.244.35;1.249.93
29 Mayýs 2023;1.256.50;1.255.08
30 Mayýs 2023;1.287.82;1.291.25
31 Mayýs 2023;1.310.79;1.311.53
1 Haziran 2023;1.323.38;1.322.86
2 Haziran 2023;1.323.38;1.313.16
